Country: IL, city: Tel Aviv


09/12/2018 21:27:06.046,!Application................: Start
09/12/2018 21:27:17.639,!EEPROM Data................: OK.
09/12/2018 21:27:17.643,!SD card....................: Free: 15.7 MB from: 15.7 MB
09/12/2018 21:27:17.862,!LOG File...................: LOG_59_.CSV started
09/12/2018 21:27:18.026,!Version....................: SmartAir Nano 1.19 Nov  5 2018 10:59:27
09/12/2018 21:27:18.049,!MCU ID.....................: 003B003A 31375119 38323937
09/12/2018 21:27:18.082,!ARM height..........[m].ARH: 1.0    [0.0   /5.0   /32000.0]
09/12/2018 21:27:18.093,!DISARM height.......[m].DRH: 10.0   [-5000.0/3.0   /32000.0]
09/12/2018 21:27:18.105,!Vibrations value.[m/s2].VIB: 0.0001 [0.0   /2.0   /12.0]
09/12/2018 21:27:18.117,!No vibrations time..[s].NVI: 30     [1     /30    /3600  ]
09/12/2018 21:27:18.129,!Vibrations time.....[s].VIT: 10     [0     /10    /3600  ]
09/12/2018 21:27:18.141,!DISARM hgt/novib[1/2/3]DISE: 2      [0     /2     /3     ]
09/12/2018 21:27:18.153,!ARM hgt/novib...[1/2/3]ARME: 2      [0     /2     /3     ]
09/12/2018 21:27:18.165,!Vibrations freq...[sec].VIF: 100    [1     /100   /1000  ]
09/12/2018 21:27:18.177,!Start ARM mode..........ARM: 1      [0     /2     /2     ] 0-Manual ARM/DIS,1-Manual ARM/Auto DIS,2-Auto ARM/DIS
09/12/2018 21:27:18.190,!Start ARM mode.............: Manual ARM/Auto DISARM
09/12/2018 21:27:18.212,!Roll calibr.value.[deg].RCV: 3.5    [-90.0 /0.0   /90.0  ]
09/12/2018 21:27:18.223,!Pitch calibr.value[deg].PCV: 0.5    [-180.0/0.0   /180.0 ]
09/12/2018 21:27:18.235,!Landing gear auto.[0/1].LGR: 0      [0     /0     /1     ]
09/12/2018 21:27:18.247,!BARO sensor type........MST: 1      [0     /1     /1     ]
09/12/2018 21:27:18.259,!IMU Configuration.......IMU: 38    
09/12/2018 21:27:18.271,!IMU_ORIENTUS........[IMU+8]: DISABLED
09/12/2018 21:27:18.282,!IMU_SENSAIR........[IMU+16]: DISABLED
09/12/2018 21:27:18.293,!Use Servo/Pyro....[1/2]SVPY: 1      [0     /1     /2     ]
09/12/2018 21:27:18.304,!Pyro Sensor resistance..SPR: 0.35   [0.00  /0.35  /2.00  ]
09/12/2018 21:27:18.316,!Pyro test freq....[sec].PTS: 15     [0     /15    /32000 ]
09/12/2018 21:27:18.328,!Min. Vcapacitor.....[V].PRV: 4.0    [-1.0  /4.0   /20.0  ]
09/12/2018 21:27:18.340,!RC Configuration........RCE: 2      [0     /0     /3     ]
09/12/2018 21:27:18.352,!RC Configuration....[RCE+1]: RC Fire Disabled
09/12/2018 21:27:18.364,!RC Configuration....[RCE+2]: RC ARM/DISARM Enabled
09/12/2018 21:27:18.376,!Main Bat. num of cells..BNC: 1      [1     /1     /6     ]
09/12/2018 21:27:18.388,!Minimum bat voltage.....MCV: 3.1    [-1.0  /3.7   /6.0   ]
09/12/2018 21:27:18.400,!Min servo power Vbat....SPV: 3.7    [0.0   /3.5   /5.0   ]
